asset_id,scenario_id,is_fake,message_text,target_size,midjourney_prompt,dalle_prompt,status,final_path
s2_msg1,s2,false,氣象署：明日北部低溫 15°C，陰天有雨,800x600 PNG,"Taiwan Central Weather Bureau official mobile app screenshot showing 明日北部低溫 15°C 陰天有雨, clear official bureau logo top-left, tidy professional typography, accurate timestamp, clean blue and white interface, photorealistic mobile screen, 4:3 ratio --ar 4:3 --v 6","台灣中央氣象署官方手機 App 截圖，顯示「明日北部低溫 15°C 陰天有雨」，左上角有清楚的氣象署徽章、整齊專業排版、正確的時間戳記，乾淨的藍白介面，4:3 比例",待生成,assets/images/scenarios/s2/s2_msg1.webp
s2_msg2,s2,false,東北季風南下，沿海風力 3-4 級,800x600 PNG,"TV weather broadcast scene with professional Taiwanese meteorologist presenter announcing 東北季風南下 沿海風力 3-4 級, news studio background with weather map graphics, professional broadcast aesthetic, 4:3 ratio --ar 4:3 --v 6","台灣電視氣象播報畫面，專業氣象主播播報「東北季風南下，沿海風力 3-4 級」，背景有氣象圖卡，專業新聞台風格，4:3 橫式比例",待生成,assets/images/scenarios/s2/s2_msg2.webp
s2_msg3,s2,true,快訊！超級颱風來襲！教育部已決定全臺停課三天！,800x600 PNG,(Use scaled-down version of s2_main),(使用主圖 s2_main 的縮小版),待生成,assets/images/scenarios/s2/s2_msg3.webp
s2_msg4,s2,true,校長公告：明日因天氣因素，本校決定停課一天,800x600 PNG,"Phone LINE group chat screenshot showing a forwarded image of fake 校長公告 about school closure, image has NO school logo, messy uneven typography, sender avatar is default gray circle with no name, suspicious feel, 4:3 ratio --ar 4:3 --v 6","手機 LINE 群組對話截圖，顯示一張被轉傳的假「校長公告」圖片，圖中沒有學校徽章、文字排版凌亂大小不一、傳送者頭像是預設灰色圓圈無名字，可疑感，4:3 比例",待生成,assets/images/scenarios/s2/s2_msg4.webp
s2_msg5,s2,false,中央氣象署發布豪雨特報，請民眾注意,800x600 PNG,"Taiwan Central Weather Bureau official heavy rain warning notification with full official logos, clear timestamp, formal alert layout, official red-orange warning color, 4:3 ratio --ar 4:3 --v 6","台灣中央氣象署官方豪雨特報通知，含完整官方標誌、清楚時間戳、正式警報版面，官方紅橘警示色，4:3 比例",待生成,assets/images/scenarios/s2/s2_msg5.webp
s4_msg1,s4,false,紅十字會募款救助受災家庭,800x600 PNG,"Taiwan Red Cross Society official fundraising poster with formal red cross logo, clear donation purpose explanation, professional design, traditional chinese text, 4:3 ratio --ar 4:3 --v 6","台灣紅十字會官方募款海報，有正式紅十字徽章、清楚說明募款用途、專業設計、繁體中文，4:3 比例",待生成,assets/images/scenarios/s4/s4_msg1.webp
s4_msg2,s4,true,某企業捐贈 100 臺平板給偏鄉小學！詳情點此,800x600 PNG,(Use scaled-down version of s4_main),(使用主圖 s4_main 的縮小版),待生成,assets/images/scenarios/s4/s4_msg2.webp
s4_msg3,s4,false,家扶基金會：歡迎民眾參與認養計畫,800x600 PNG,"Taiwan TFCF Foundation child sponsorship program announcement poster with clear foundation logo and contact info, warm professional design, traditional chinese, 4:3 ratio --ar 4:3 --v 6","家扶基金會認養計畫公告海報，有清楚的基金會徽章和聯絡資訊、溫暖專業的設計、繁體中文，4:3 比例",待生成,assets/images/scenarios/s4/s4_msg3.webp
s4_msg4,s4,true,愛心企業招募『愛心大使』推廣捐款，填表即可領禮物！,800x600 PNG,"Brightly colored gaudy 愛心大使招募 recruitment advertisement emphasizing 填表即可領禮物 with suspicious personal info form fields, garish rainbow colors, scam-style design, 4:3 ratio --ar 4:3 --v 6","色彩繽紛誇張的「愛心大使招募」廣告，強調「填表即可領禮物」，有可疑的個資填表欄位、刺眼的彩虹色調、詐騙風格設計，4:3 比例",待生成,assets/images/scenarios/s4/s4_msg4.webp
s4_msg5,s4,false,學校感謝家長對校務的參與,800x600 PNG,"Principal giving a certificate of appreciation to a parent representative in a Taiwanese elementary school, realistic photo style, natural warm lighting, ordinary school setting, 4:3 ratio --ar 4:3 --v 6","台灣國小校長頒發感謝狀給家長代表的真實照片風格，自然溫暖的光線，平實的校園場景，4:3 比例",待生成,assets/images/scenarios/s4/s4_msg5.webp
s5_msg1,s5,false,文具店：開學季購書享 8 折優惠,800x600 PNG,"Taiwan local stationery store back-to-school season promotion ad, simple plain design with store name and address, reasonable 20 percent off discount, friendly tone, 4:3 ratio --ar 4:3 --v 6","台灣在地文具店開學季優惠廣告，簡單平實的設計，有店名和地址、合理的 8 折折扣、親切的口吻，4:3 比例",待生成,assets/images/scenarios/s5/s5_msg1.webp
s5_msg2,s5,true,恭喜！您獲得免費 iPhone 15！點選連結領取！,800x600 PNG,(Use scaled-down version of s5_main),(使用主圖 s5_main 的縮小版),待生成,assets/images/scenarios/s5/s5_msg2.webp
s5_msg3,s5,false,學校宣布：本週舉辦書展，學生憑學生證入場,800x600 PNG,"Taiwan elementary school bulletin board notice about book fair, formal simple official design with school stamp, traditional chinese text, 4:3 ratio --ar 4:3 --v 6","台灣國小公告板上的書展通知，正式簡單的官方設計、有學校關防印章、繁體中文，4:3 比例",待生成,assets/images/scenarios/s5/s5_msg3.webp
s5_msg4,s5,true,豪華禮物等你領！只要按讚分享，免費送！,800x600 PNG,"Another scam ad showing piles of luxury gifts with text 按讚分享免費送, unrealistic sparkle effects, garish rainbow colors, obvious scam style, social media post format, 4:3 ratio --ar 4:3 --v 6","另一張詐騙廣告，顯示堆滿的奢華禮物搭配「按讚分享免費送」文字，不真實的閃光效果、刺眼彩虹色、明顯詐騙風格、社群貼文版型，4:3 比例",待生成,assets/images/scenarios/s5/s5_msg4.webp
s5_msg5,s5,false,家扶基金會：歡迎民眾贈送舊文具給弱勢學童,800x600 PNG,"Taiwan TFCF Foundation public notice asking for donated used stationery for underprivileged children, formal warm design with foundation logo and contact info, 4:3 ratio --ar 4:3 --v 6","家扶基金會徵求舊文具給弱勢學童的公告，有基金會徽章和聯絡資訊、正式溫暖的設計，4:3 比例",待生成,assets/images/scenarios/s5/s5_msg5.webp
